kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,siparis_durumu,irsaliye_tarihi
HIDROJEN PEROKSIT,YURTDIŞI,2018/036,2018-01-23 00:00:00,MERİVAN,MERİVAN,KUZEY IRAK,GP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-001,49 GÜN,2018-01-27,,
HIDROJEN PEROKSIT,DMO,2018/037,DMO,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,BOR DEVLET HASTANESİ,NİĞDE,GP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-002,50 GÜN,2018-05-14,,
HIDROJEN PEROKSIT,YURTDIŞI,2018/038,2018-07-30 00:00:00,SANADOR HASTANESİ,SANADOR HASTANESİ,ROMANYA,GP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-009,15 GÜN,2018-08-15,,
HIDROJEN PEROKSIT,YURTDIŞI,2018/039,2018-07-25 00:00:00,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-008,DERHAL,2018-07-25,,
HIDROJEN PEROKSIT,DMO,2018/086,2018-09-03 00:00:00,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,YEŞİLYURT DEVLET HASTANESİ,MALATYA,GP 80,80 LT PLAZMA CİHAZI,80 LT,2018/04-010,55 GÜN,2018-10-27,,
HIDROJEN PEROKSIT,DMO,2018/087,2018-07-23 00:00:00,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,ANTALYA,GP 80,80 LT PLAZMA CİHAZI,80 LT,2018/04-006,56 GÜN,,,
HIDROJEN PEROKSIT,İHALE,2018/088,2018-10-02 00:00:00,EL-BAB HASTANESİ,EL-BAB HASTANESİ,SURİYE,TSP 80,80 LT PLAZMA CİHAZI,80 LT,2018/04-014,57 GÜN,,,
HIDROJEN PEROKSIT,YURTDIŞI,2018/112,2018-11-21 00:00:00,ARISTOTEL ZDRAVSTVENI CENTER D.O.O.,ARISTOTEL ZDRAVSTVENI CENTER D.O.O.,SLOVENYA,TSP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-011,58 GÜN,,,
HIDROJEN PEROKSIT,DMO,2018/111,2018-05-08 00:00:00,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,AKSARAY,GP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-003,59 GÜN,,,
HIDROJEN PEROKSIT,YURTDIŞI,2018/093,2018-09-25 00:00:00,MED STANDART,MED STANDART,UKRAYNA,TSP 120,120 LT PLAZMA CİHAZI,120 LT,2018/04-015,60 GÜN,,,
