kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi
REVERSE OSMOS ,ÖZEL,,,BEZMİALEM VAKIF ÜNİVERSİTESİ,BEZMİALEM VAKIF ÜNİVERSİTESİ,İSTANBUL,PREMİUM 240,,500 LT,2018/08-001,,
REVERSE OSMOS ,ÖZEL,,,BÜYÜKÇEKMECE DEVLET HASTANESİ,BÜYÜKÇEKMECE DEVLET HASTANESİ,İSTANBUL,PREMİUM 440,,1000 LT,2018/08-002,,
REVERSE OSMOS ,,,,FOÇA DEVLET HASTANESİ,FOÇA DEVLET HASTANESİ,İZMİR,PREMİUM 240,,500 LT,2018/08-003,,
REVERSE OSMOS ,,,,Gemlik Devlet Hastanesi,Gemlik Devlet Hastanesi,bursa,PREMİUM 440,,1000 LT,2018/08-004,,
REVERSE OSMOS ,YURTDIŞI,2018/186,21.06.2018,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,PREMİUM 140,,250 LT,2018/08-005,,
REVERSE OSMOS ,ÖZEL,,28.06.2018,METRONİKS MEDİKAL,AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ,,PREMIUM 840 LT,,2000 LT,2018/08-006,,
REVERSE OSMOS ,ÖZEL,2018/203,30.06.2018,CENTRIUM TÜP BEBEK MERKEZİ,CENTRIUM TÜP BEBEK MERKEZİ,ANKARA,PREMİUM 240,,500 LT,2018/08-007,,
REVERSE OSMOS ,YURTDIŞI,2018/295,19.09.2018,RAWAAT-ALMAJARRA COMPANY,RAWAAT-ALMAJARRA COMPANY,IRAK,PREMİUM 240,,500 LT,2018/08-008,,
REVERSE OSMOS ,YURTDIŞI,2018/310,13.11.2018,SHORESH ENTERPRISE,SHORESH ENTERPRISE,SİNGAPUR,PREMİUM 40,,40 LT,2018/08-009,,
REVERSE OSMOS ,YURTDIŞI,2018/311,13.11.2018,SHORESH ENTERPRISE,SHORESH ENTERPRISE,SİNGAPUR,PREMİUM 40,,40 LT,2018/08-010,,
REVERSE OSMOS ,İHALE,2018/314,14.11.2018,KOCAELİ ÜNİVERSİTESİ BAP KOORDİNASYON BİRİMİ,KOCAELİ ÜNİVERSİTESİ BAP KOORDİNASYON BİRİMİ,KOCAELİ,PREMİUM 140,,250 LT,2018/08-011,60 GÜN,
REVERSE OSMOS ,İHALE,2018/349,1.12.2018,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,ALANYA,PREMİUM 440,,1000 LT,2018/08-012,20 GÜN,
REVERSE OSMOS ,İHALE,2018/350,1.12.2018,NUH NACİ YAZGAN ÜNİVERSİTESİ,NUH NACİ YAZGAN ÜNİVERSİTESİ,KAYSERİ,PREMİUM 440,,1000 LT,2018/08-013,30 GÜN,
REVERSE OSMOS ,YURTDIŞI,2018/351,6.12.2018,SHİNYAR COMPANY FOR GENERAL CONSTRUCTİON LTD,SHİNYAR COMPANY FOR GENERAL CONSTRUCTİON LTD,IRAK,PREMİUM 440,,1000 LT,2018/08-014,,
REVERSE OSMOS ,İHALE,2019/105,27.04.2019,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA,PREMIUM 240,,500 LT,2019/08-001,37,3.06.2019
REVERSE OSMOS ,İHALE,2019/106,27.04.2019,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA FATMA KEMAL TİMUÇİN ADSM,ADANA,PREMIUM 240,,500 LT,2019/08-002,37,3.06.2019
REVERSE OSMOS ,YURTDIŞI,2019/165,9.07.2019,EKVATOR,EKVATOR,EKVATOR,PREMIUM 140,,250 LT,2019/08-003,-35,4.06.2019
REVERSE OSMOS ,YURTDIŞI,2019/166,9.07.2019,EKVATOR,EKVATOR,EKVATOR,PREMIUM 140,,250 LT,2019/08-004,-34,5.06.2019
REVERSE OSMOS ,ÖZEL,2019/173,16.07.2019,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,SİLVAN DR.YUSUF AZİZOĞLU DEVLET HASTANESİ,DİYARBAKIR,PREMIUM 240,,500 LT,2019/08-005,16,1.08.2019
REVERSE OSMOS ,ÖZEL,2019/184,29.07.2019,ÖZEL HUZUR SAĞLIK HİZMETLERİ LTD.ŞTİ.,İSTANBUL DAYIOĞLU TIP MERKEZİ,İSTANBUL,PREMIUM 140,,250 LT,2019/08-006,96,2.11.2019
REVERSE OSMOS ,ÖZEL,2019/337,31.12.2019,A HOSPİTAL,A HOSPİTAL,İSTANBUL,PREMIUM 240,,500 LT,2019/08-007,0,31.12.2019
REVERSE OSMOS ,ÖZEL,2019/338,31.12.2019,ETİMESGUT DEVLET HASTANESİ,ETİMESGUT DEVLET HASTANESİ,ANKARA,PREMIUM 2340,,750 LT,2019/08-008,1,1.01.2020
REVERSE OSMOS ,ÖZEL,2019/339,31.12.2019,KARŞIYAKA ADSM,KARŞIYAKA ADSM,İZMİR,PREMIUM 240,,500 LT,2019/08-009,2,2.01.2020
REVERSE OSMOS ,ÖZEL,2019/340,31.12.2019,ŞARKÖY DEVLET HASTANESİ,ŞARKÖY DEVLET HASTANESİ,EDİRNE,PREMIUM 140,,250 LT,2019/08-010,3,3.01.2020
REVERSE OSMOS ,,,,ANKARA ÜNİVERSİTESİ,ANKARA ÜNİVERSİTESİ,ANKARA,PREMIUM 340,,750 LT,2019/08-011,,4.01.2020
REVERSE OSMOS ,ÖZEL,2020/032,6.01.2020,RADON TIBBİ MALZEMELER İTH.İHR.TİC.LTD.ŞTİ.,RADON TIBBİ MALZEMELER İTH.İHR.TİC.LTD.ŞTİ.,ANKARA,PREMİUM 140,,250 LT/SAAT,2020/08-001,56,2.03.2020
REVERSE OSMOS ,YURTDIŞI,2020/045,3.02.2020,MED İNSPİRE TEKNOLOGİES,MED İNSPİRE TEKNOLOGİES,ÖZBEKİSTAN,PREMIUM 240,,500 LT,2020/08-002,29,3.03.2020
REVERSE OSMOS ,YURTDIŞI,2020/104,17.03.2020,ZARMED HOSPİTAL,ZARMED HOSPİTAL,ÖZBEKİSTAN,PREMIUM 240,,500 LT,2020/08-003,25,11.04.2020
REVERSE OSMOS ,YURTDIŞI,2020/108,17.03.2020,AL AZHER PRİVATE HOSPİTAL,AL AZHER PRİVATE HOSPİTAL,IRAK,PREMIUM 2340,,750 LT,2020/08-004,30,16.04.2020
REVERSE OSMOS ,ÖZEL,2020/114,31.03.2020,NEVŞEHİR ADSM,NEVŞEHİR ADSM,NEVŞEHİR,PREMIUM 240,,500 LT,2020/08-005,30,30.04.2020
REVERSE OSMOS ,YURTDIŞI,2020/117,31.03.2020,NİCU,NİCU,ROMANYA,PREMİUM 140,,250 LT/SAAT,2020/08-006,20,20.04.2020
REVERSE OSMOS ,HİBE,2020/183,29.04.2020,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,PREMİUM 140,,250 LT/SAAT,2020/08-007,11,10.05.2020
REVERSE OSMOS ,HİBE,2020/184,29.04.2020,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,PREMİUM 140,,250 LT/SAAT,2020/08-008,11,10.05.2020
REVERSE OSMOS ,HİBE,2020/185,29.04.2020,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE  SAHRA HASTANESİ,İSTANBUL,PREMİUM 140,,250 LT/SAAT,2020/08-009,11,10.05.2020
REVERSE OSMOS ,HİBE,2020/186,29.04.2020,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE  SAHRA HASTANESİ,İSTANBUL,PREMİUM 140,,250 LT/SAAT,2020/08-010,11,10.05.2020
REVERSE OSMOS ,HİBE,2020/187,29.04.2020,DMO GENEL MÜDÜRLÜĞÜ,DERİNCE  SAHRA HASTANESİ,İSTANBUL,PREMİUM 140,,250 LT/SAAT,2020/08-011,11,10.05.2020
REVERSE OSMOS ,HİBE,2020/188,29.04.2020,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,PREMİUM 640,,PREMİUM 640,2020/08-012,11,10.05.2020
REVERSE OSMOS ,HİBE,2020/189,29.04.2020,DMO GENEL MÜDÜRLÜĞÜ,SANCAKTEPE  SAHRA HASTANESİ,İSTANBUL,PREMİUM 840,,2000 LT/SAAT,2020/08-013,11,10.05.2020
REVERSE OSMOS ,HİBE,2020/190,29.04.2020,DMO GENEL MÜDÜRLÜĞÜ,DERİNCE  SAHRA HASTANESİ,İSTANBUL,PREMİUM 840,,2000 LT/SAAT,2020/08-014,11,10.05.2020
REVERSE OSMOS ,YURTDIŞI,2020/194,30.05.2020,3G COM,3G COM,FAS,PREMİUM 140,,250 LT/SAAT,2020/08-015,16,15.06.2020
REVERSE OSMOS ,ÖZEL,2020/261,22.06.2020,SANCAKTEPE ŞEHİT PROF.DR.İLHAN VARANK EĞİTİM VE ARAŞTIRMA HASTANESİ,SANCAKTEPE ŞEHİT PROF.DR.İLHAN VARANK EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,PREMIUM 1500,,1500 LT/SAAT,2020/08-016,3,25.06.2020
REVERSE OSMOS ,ÖZEL,2020/262,25.06.2020,İSTANBUL BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,PREMIUM 1500,,1500 LT/SAAT,2020/08-017,0,25.06.2020
REVERSE OSMOS ,YURTDIŞI,2020/267,4.07.2020,NİCU,NİCU,ROMANYA,PREMIUM 240,,500 LT,2020/08-018,32,5.08.2020
REVERSE OSMOS ,YURTDIŞI,2020/268,4.07.2020,NİCU,NİCU,ROMANYA,PREMIUM 240,,500 LT,2020/08-019,32,5.08.2020
REVERSE OSMOS ,YURTDIŞI,2020/269,4.07.2020,NİCU,NİCU,ROMANYA,PREMIUM 240,,500 LT,2020/08-020,32,5.08.2020
REVERSE OSMOS ,YURTDIŞI,2020/286,14.07.2020,DİATECH SA,DİATECH SA,ÖZBEKİSTAN,PREMIUM 750,,750 LT/SAAT,2020/08-021,23,6.08.2020
REVERSE OSMOS ,YURTDIŞI,2020/287,14.07.2020,DİATECH SA,DİATECH SA,ÖZBEKİSTAN,PREMIUM 750,,750 LT/SAAT,2020/08-022,24,7.08.2020
REVERSE OSMOS ,YURTDIŞI,2020/289,18.07.2020,NİCU,NİCU,ROMANYA,PREMIUM 240,,500 LT,2020/08-023,30,17.08.2020
REVERSE OSMOS ,YURTDIŞI,2020/305,18.07.2020,NİCU,NİCU,ROMANYA,PREMIUM 340,,750 LT,2020/08-024,30,17.08.2020
REVERSE OSMOS ,YURTDIŞI,2020/355,1.10.2020,NİCU,NİCU,ROMANYA,PREMİUM 140,,250 LT/SAAT,2020/08-025,19,20.10.2020
REVERSE OSMOS ,HİBE,2020/364,9.10.2020,BATMAN KADIN DOĞUM HASTANESİ,BATMAN KADIN DOĞUM HASTANESİ,BATMAN,PREMIUM 2340,,750 LT,2020/08-026,11,20.10.2020
