kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,siparis_durumu,irsaliye_tarihi,uts_no
OKSIJEN,YURTDIŞI,2018/040,2018-05-02,SIMAD UNİVERSİTESİ,UĞUR SAĞLIK HİZMETLERİ A.Ş.,SOMALİ,OXYGOLD-22 ,,220 LT,2018/06-005,30,2018-06-10,,,
OKSIJEN,YURTDIŞI,,,,,,,,,,,,,,
OKSIJEN,YURTDIŞI,2020/048,2020-02-05,AL MASARA HOSPİTAL,AL MASARA HOSPİTAL,LİBYA,OXYGOLD 75,,75 LT,2020/06-001,30,,,,
OKSIJEN,YURTDIŞI,2020/049,2020-02-05,AL MASARA HOSPİTAL,AL MASARA HOSPİTAL,LİBYA,OXYGOLD 3,,,2020/06-002,30,,,,
OKSIJEN,YURTDIŞI,2018/003,2021-01-13,"MME,LLC","MME,LLC",UKRAYNA,OXY-GOLD-11,,,2020/06-003,30,,,,
OKSIJEN,YURTDIŞI,2020/514,2021-01-13,"MME,LLC","MME,LLC",UKRAYNA,OXY-GOLD-K15,,,2020/06-004,30,,,,
OKSIJEN,YURTDIŞI,2020/515,2021-01-13,"MME,LLC","MME,LLC",UKRAYNA,OXY-GOLD-K15,,,2020/06-005,30,,,,
OKSIJEN,YURTDIŞI,2021/181,2021-05-26,NHAVA SHEVA,NHAVA SHEVA,HİNDİSTAN,OXY-GOLD 37,,,2021/06-001,2021-06-06 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/035,2021-02-19,"MME,LLC(MED LOGİSTİCS)","MME,LLC(MED LOGİSTİCS)",UKRAYNA,OXY-GOLD 37,,,2021/06-002,2021-03-10 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/036,2021-02-19,"MME,LLC(MED LOGİSTİCS)","MME,LLC(MED LOGİSTİCS)",UKRAYNA,OXY-GOLD 15,,,2021/06-003,2021-03-10 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/037,2021-02-19,"MME,LLC(MED LOGİSTİCS)","MME,LLC(MED LOGİSTİCS)",UKRAYNA,OXY-GOLD 18,,,2021/06-004,2021-03-10 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/038,2021-02-19,"MME,LLC(MED LOGİSTİCS)","MME,LLC(MED LOGİSTİCS)",UKRAYNA,OXY-GOLD 30,,,2021/06-005,2021-03-10 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/182,2021-05-26,NHAVA SHEVA,NHAVA SHEVA,HİNDİSTAN,OXY-GOLD 37,,,2021/06-006,2021-06-06 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/434,2021-11-22,UKRAYNA,UKRAYNA,UKRAYNA,OXY-GOLD 22,,,2021/06-007,2021-11-30 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/385,2021-11-01,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 110,,,2021/06-010,2021-11-21 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/041,2021-04-22,"MME,LLC(MED LOGİSTİCS)","MME,LLC(MED LOGİSTİCS)",UKRAYNA,OXY-GOLD 37,,,2021/06-011,2021-04-29 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/128,2021-08-03,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 15,,,2021/06-020,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/129,2021-08-03,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 18,,,2021/06-021,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/130,2021-08-03,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 30,,,2021/06-022,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/254,2021-07-26,ESTONYA,ESTONYA,ESTONYA,OXY-GOLD 37,,,2021/06-012,2021-08-06 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/255,2021-07-26,ESTONYA,ESTONYA,ESTONYA,OXY-GOLD 37,,,2021/06-013,2021-08-06 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/256,2021-07-26,ESTONYA,ESTONYA,ESTONYA,OXY-GOLD 37,,,2021/06-014,2021-08-06 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/257,2021-07-26,ESTONYA,ESTONYA,ESTONYA,OXY-GOLD 37,,,2021/06-015,2021-08-06 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/258,2021-07-26,ESTONYA,ESTONYA,ESTONYA,OXY-GOLD 37,,,2021/06-016,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/259,2021-07-26,ESTONYA,ESTONYA,ESTONYA,OXY-GOLD 37,,,2021/06-017,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/260,2021-07-26,ESTONYA,ESTONYA,ESTONYA,OXY-GOLD 37,,,2021/06-018,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/261,2021-07-26,ESTONYA,ESTONYA,ESTONYA,OXY-GOLD 37,,,2021/06-019,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/275,2021-08-03,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 37,,,2021/06-023,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/276,2021-08-04,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 45,,,2021/06-024,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/277,2021-08-04,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 45,,,2021/06-025,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/284,2021-08-18,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 45,,,2021/06-026,2021-08-20 00:00:00,,,,
OKSIJEN,YURTDIŞI,2021/289,2021-08-23,CEZAYİR,CEZAYİR,CEZAYİR,OXY-GOLD 37,,,2021/06-027,2021-08-24 00:00:00,,,,
