kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,irsaliye_tarihi,uts_no
AMELIYAT MASASI,ÖZEL,2018/006,6/29/2018,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-012,20 GÜN,7/18/2018,,
AMELIYAT MASASI,DEMO,2018/007,2/14/2018,DEMO,DERİNCE EĞİTİM VE ARAŞTIRMA HASTANESİ,KOCAELİ,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-003,21 GÜN,,,
AMELIYAT MASASI,ÖZEL,2018/008,10/23/2018,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-029,DERHAL,,,
AMELIYAT MASASI,YURTDIŞI,2018/009,9/3/2018,COOL DEE PA ELEKTRIC CO LTD.,COOL DEE PA ELEKTRIC CO LTD.,TAYLAND,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-022,7 GÜN,9/7/2018,,
AMELIYAT MASASI,YURTDIŞI,2018/011,2/28/2018,YÜKSELİŞ,DR.ORUC IBADOV,AZERBEYCAN,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-004,8 GÜN,,,
AMELIYAT MASASI,DMO,2018/013,11/2/2018,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-033,60 GÜN,1/1/2019,,
AMELIYAT MASASI,ÖZEL,2018/015,7/27/2018,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-016,61 GÜN,8/6/2018,,
AMELIYAT MASASI,DMO,2018/016,11/2/2018,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-032,60 GÜN,1/1/2019,,
AMELIYAT MASASI,ÖZEL,2018/017,6/29/2018,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-011,20 GÜN,7/18/2018,,
AMELIYAT MASASI,DMO,2018/018,11/2/2018,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-031,60 GÜN,1/1/2019,,
AMELIYAT MASASI,YURTDIŞI,2018/019,11/21/2018,ARISTOTEL ZDRAVSTVENI CENTER D.O.O.,ARISTOTEL ZDRAVSTVENI CENTER D.O.O.,SLOVENYA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-014,61 GÜN,,,
AMELIYAT MASASI,DMO,2018/020,3/20/2018,DMO,BURSA MUAMMER AĞIM GEMLİK DEVLET HASTANESİ,BURSA,ERM 2000 F,AMELİYAT MASASI,*,2018/02-002,50 GÜN,5/8/2018,,
AMELIYAT MASASI,YURTDIŞI,2018/021,6/25/2018,NI CONSULTİNG,NI CONSULTİNG,ROMANYA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-010,51 GÜN,7/18/2018,,
AMELIYAT MASASI,ÖZEL,2018/023,4/11/2018,ÖZEL,ÖZEL SAFA TEŞHİS VE TEDAVİ MERKEZİ SAN.TİC.A.Ş.,İZMİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-005,DERHAL,,,
AMELIYAT MASASI,DMO,2018/024,11/2/2018,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-035,60 GÜN,1/1/2019,,
AMELIYAT MASASI,DMO,2018/025,11/2/2018,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-030,60 GÜN,1/1/2019,,
AMELIYAT MASASI,DMO,2018/027,11/2/2018,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-034,60 GÜN,1/1/2019,,
AMELIYAT MASASI,YURTDIŞI,2018/028,12/10/2018,RAWAT ALMAJARRA COMPANY,RAWAT ALMAJARRA COMPANY,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-037,61 GÜN,12/12/2018,,
AMELIYAT MASASI,DMO,2018/029,11/5/2018,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-036,60 GÜN,1/1/2019,,
