kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,irsaliye_tarihi,aciklama,solusyon_fatura,bidon_acilisi,uts_no
AMELIYAT MASASI,ÖZEL,2018/006,2018-06-29,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-012,20 GÜN,2018-07-18,,,,,
AMELIYAT MASASI,DEMO,2018/007,2018-02-14,DEMO,DERİNCE EĞİTİM VE ARAŞTIRMA HASTANESİ,KOCAELİ,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-003,21 GÜN,,,,,,
AMELIYAT MASASI,ÖZEL,2018/008,2018-10-23,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-029,DERHAL,,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/009,2018-09-03,COOL DEE PA ELEKTRIC CO LTD.,COOL DEE PA ELEKTRIC CO LTD.,TAYLAND,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-022,7 GÜN,2018-09-07,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/011,2018-02-28,YÜKSELİŞ,DR.ORUC IBADOV,AZERBEYCAN,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-004,8 GÜN,,,,,,
AMELIYAT MASASI,DMO,2018/013,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-033,60 GÜN,2019-01-01,,,,,
AMELIYAT MASASI,ÖZEL,2018/015,2018-07-27,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-016,61 GÜN,2018-08-06,,,,,
AMELIYAT MASASI,DMO,2018/016,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-032,60 GÜN,2019-01-01,,,,,
AMELIYAT MASASI,ÖZEL,2018/017,2018-06-29,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-011,20 GÜN,2018-07-18,,,,,
AMELIYAT MASASI,DMO,2018/018,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-031,60 GÜN,2019-01-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/019,2018-11-21,ARISTOTEL ZDRAVSTVENI CENTER D.O.O.,ARISTOTEL ZDRAVSTVENI CENTER D.O.O.,SLOVENYA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-014,61 GÜN,,,,,,
AMELIYAT MASASI,DMO,2018/020,2018-03-20,DMO,BURSA MUAMMER AĞIM GEMLİK DEVLET HASTANESİ,BURSA,ERM 2000 F,AMELİYAT MASASI,*,2018/02-002,50 GÜN,2018-05-08,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/021,2018-06-25,NI CONSULTİNG,NI CONSULTİNG,ROMANYA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-010,51 GÜN,2018-07-18,,,,,
AMELIYAT MASASI,ÖZEL,2018/023,2018-04-11,ÖZEL,ÖZEL SAFA TEŞHİS VE TEDAVİ MERKEZİ SAN.TİC.A.Ş.,İZMİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-005,DERHAL,,,,,,
AMELIYAT MASASI,DMO,2018/024,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-035,60 GÜN,2019-01-01,,,,,
AMELIYAT MASASI,DMO,2018/025,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-030,60 GÜN,2019-01-01,,,,,
AMELIYAT MASASI,DMO,2018/027,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-034,60 GÜN,2019-01-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/028,2018-12-10,RAWAT ALMAJARRA COMPANY,RAWAT ALMAJARRA COMPANY,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-037,61 GÜN,2018-12-12,,,,,
AMELIYAT MASASI,DMO,2018/029,2018-11-05,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-036,60 GÜN,2019-01-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/031,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-024,30 GÜN,2018-11-02,,,,,
AMELIYAT MASASI,ÖZEL,2018/034,2018-01-02,DED GRUP İNŞAAT MEDİKAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MALATYA DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-001,31 GÜN,,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/085,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-025,30 GÜN,2018-11-02,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/137,2018-07-25,MODERN MEDİCAL,MODERN MEDİCAL,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-015,DERHAL,2018-07-25,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/138,2018-12-10,RAWAT ALMAJARRA COMPANY,RAWAT ALMAJARRA COMPANY,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-038,19 GÜN,2018-12-12,,,,,
AMELIYAT MASASI,ÖZEL,2018/145,2018-06-29,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,STR 2000 F,AMELİYAT MASASI,*,2018/02-013,20 GÜN,2018-07-18,,,,,
AMELIYAT MASASI,ÖZEL,2018/146,2018-04-30,ÖZTAN HASTANESİ,ÖZTAN HASTANESİ,UŞAK,2000 F,AMELİYAT MASASI,*,2018/02-006,,2018-05-10,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/149,2018-09-03,COOL DEE PA ELEKTRIC CO LTD.,COOL DEE PA ELEKTRIC CO LTD.,TAYLAND,STR 2000 F,AMELİYAT MASASI,*,2018/02-023,7 GÜN,2018-09-07,,,,,
AMELIYAT MASASI,DMO,2018/161,2018-12-21,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,KAĞIZMAN DEVLET HASTANESİ,KARS,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-040,50 GÜN,2019-02-09,,,,,
AMELIYAT MASASI,DMO,2018/162,2018-12-21,DMO ERZURUM BÖLGE MÜDÜRLÜĞÜ,KAĞIZMAN DEVLET HASTANESİ,KARS,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-039,50 GÜN,2019-02-09,,,,,
AMELIYAT MASASI,ÖZEL,2018/167,2018-05-18,GÜVEN HASTANESİ,GÜVEN HASTANESİ,ANKARA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-007,51 GÜN,2018-05-28,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/187,2018-06-21,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,GOLDBERG 6S,AMELİYAT MASASI,*,2018/02-008,52 GÜN,2018-07-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/188,2018-06-21,SİMAD ÜNİVERSİTESİ,SİMAD ÜNİVERSİTESİ,SOMALİ,GOLDBERG 6S,AMELİYAT MASASI,*,2018/02-009,53 GÜN,2018-07-01,,,,,
AMELIYAT MASASI,İHALE,2018/237,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-017,54 GÜN,,,,,,
AMELIYAT MASASI,İHALE,2018/238,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-018,55 GÜN,,,,,,
AMELIYAT MASASI,İHALE,2018/239,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-019,56 GÜN,,,,,,
AMELIYAT MASASI,İHALE,2018/240,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-020,57 GÜN,,,,,,
AMELIYAT MASASI,İHALE,2018/241,2018-08-29,YUNUS EMRE DEVLET HASTANESİ,YUNUS EMRE DEVLET HASTANESİ,ESKİŞEHİR,ERM 2000 F,AMELİYAT MASASI,*,2018/02-021,58 GÜN,,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/299,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-026,30 GÜN,2018-11-02,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/300,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-027,30 GÜN,2018-11-02,,,,,
AMELIYAT MASASI,YURTDIŞI,2018/301,2018-10-03,BİOMETRİC ALBANİA,BİOMETRİC ALBANİA,ARNAVUTLUK,STR 2000 F,AMELİYAT MASASI,*,2018/02-028,30 GÜN,2018-11-02,,,,,
AMELIYAT MASASI,DMO,2018/352,2018-12-21,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SULTANGAZİ ADSM,İSTANBUL,ERM 2000 F,AMELİYAT MASASI,*,2018/02-041,50 GÜN,2019-02-09,,,,,
AMELIYAT MASASI,ÖZEL,2019/004,2019-01-22,İNCİRLİ SAĞLIK VE SOSYAL TESİSLERİ A.Ş.,ETİCA HASTANESİ,İSTANBUL,STR 2000 F,AMELİYAT MASASI,*,2019/02-001,3,2019-01-25,,,,,
AMELIYAT MASASI,ÖZEL,2019/005,2019-04-04,TÜRKİYE PETROLLERİ A.Ş.,ALİAĞA DEVLET HASTANESİ,İZMİR,ERM 2000 F,AMELİYAT MASASI,*,2019/02-018,30,2019-03-23,,,,,
AMELIYAT MASASI,ÖZEL,2019/009,2019-01-24,ER-PA ÖZEL DENİZLİ SAĞLIK HAS.A.Ş.,ER-PA ÖZEL DENİZLİ SAĞLIK HAS.A.Ş.,DENİZLİ,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-002,59,2019-03-24,,,,,
AMELIYAT MASASI,DMO,2019/021,2019-02-08,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA KADIN DOĞUM VE ÇOCUK HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-027,126,2019-06-14,,,,,
AMELIYAT MASASI,DMO,2019/035,2019-04-24,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,BATMAN GERCÜŞ DEVLET HASTANESİ,BATMAN,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-004,54,2019-06-17,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/042,2019-02-20,UKRAYNA,UKRAYNA,UKRAYNA,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-005,9,2019-03-01,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/052,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-006,30,2019-03-30,,,,,
AMELIYAT MASASI,YURTDIŞI,2019/053,2019-02-28,NİJERYA,NİJERYA,NİJERYA,STR 2000     ,AMELİYAT MASASI,*,2019/02-007,30,2019-03-30,,,,,
