kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,siparisin_durumu,irsaliye_tarihi
yikama,DMO,2018/041,2018-01-02,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER SAĞLIK MÜDÜRLÜĞÜ DESTEK MÜDÜRLÜĞÜ-ELBAB,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-005,28 GÜN,,,
yikama,DMO,2018/042,2018-01-02,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER SAĞLIK MÜDÜRLÜĞÜ DESTEK MÜDÜRLÜĞÜ-ÇOBANBEY,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-003,29 GÜN,,,
yikama,ÖZEL,2018/043,2018-05-26,ADERANS TEKNİK TAAH.İNŞ.SAN.TİC.LTD.ŞTİ.,İSTANBUL MEDENİYET ÜNİVERSİTESİ,İSTANBUL,GY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-011,30 GÜN,2018-04-21,,
yikama,DMO,2018/044,2018-01-02,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER SAĞLIK MÜDÜRLÜĞÜ DESTEK MÜDÜRLÜĞÜ-MAREA,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-006,31 GÜN,,,
yikama,DMO,2018/045,2018-01-02,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,BÜYÜKÇEKMECE DEVLET HASTANESİ,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-013,55 GÜN,2018-06-26,,
yikama,ÖZEL,2018/047,2018-08-05,FOÇA DEVLET HASTANESİ,FOÇA DEVLET HASTANESİ,İZMİR,GY 225,225 LT ÇİFT KAPI YIKAMA CİHAZI,225 LT,2018/05-020,56 GÜN,2018-06-15,,
yikama,DMO,2018/048,2018-01-02,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER SAĞLIK MÜDÜRLÜĞÜ DESTEK MÜDÜRLÜĞÜ-ELBAB,İSTANBUL,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2018/05-004,57 GÜN,,,
yikama,DMO,2018/050,2018-05-03,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,ORTACA DEVLET HASTANESİ,MUĞLA,TSY 290 O,290 LT YIKAMA CİHAZI,290 LT,2018/05-015,58 GÜN,2018-06-21,,
yikama,DMO,2018/051,2018-03-14,DMO GENEL MÜDÜRLÜĞÜ,KAMAN DEVLET HASTANESİ,KIRŞEHİR,TSY 290,290 LT YIKAMA CİHAZI,290 LT,2018/05-009,59 GÜN,,,
yikama,DMO,2018/052,2018-07-23,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,ANTALYA,TSY 290,290 LT YIKAMA CİHAZI,290 LT,2018/05-027,55 GÜN,2018-09-15,,
