DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2021,KURULUM YERİ /2021,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,Teslim Süresi
ÖZEL,2020/496,2020-12-25,SAMSUN MEDİKAL GRUP ÖZEL SAĞLIK HİZM.A.Ş.,MLPCARE VADİ İSTANBUL PROJESİ,İSTANBUL,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-001,2021-03-01 00:00:00,,66.0
ÖZEL,2021/015,2020-12-25,SAMSUN MEDİKAL GRUP ÖZEL SAĞLIK HİZM.A.Ş.,MLPCARE VADİ İSTANBUL PROJESİ,İSTANBUL,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-002,2021-03-01 00:00:00,,66.0
ÖZEL,2019/243,2020-12-22,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,GİRESUN ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,GİRESUN,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-003,2021-02-19 00:00:00,,59.0
YURTDIŞI,2021/003,2021-09-10,ROMANYA,ROMANYA,ROMANYA,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-090,2021-10-15 00:00:00,,35.0
ÖZEL,2021/006,2021-11-11,ÖZEL SEYGÖL AİLE SAĞLIK HİZM.İLAÇ SAN.TİC.A.Ş.,İZMİT CERRAHİ TIP MERKEZİ,KOCAELİ,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-013,2021-11-18 00:00:00,,7.0
YURTDIŞI,2021/005,2021-10-28,UKRAYNA,UKRAYNA,UKRAYNA,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-180,31.11.2021,,30.0
DMO,2021/004,2021-09-27,DMO VAN BÖLGE MÜDÜRLÜĞÜ,ÇALDIRAN DEVLET HASTANESİ,VAN,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-188,2021-11-27 00:00:00,,61.0
YURTDIŞI,2021/008,2021-06-29,TM,TM,MISIR,GOLDBERG 300 S,300 LT TEK KAPILI OTOKLAV CİHAZI,300 LT,2021/01-082,2021-07-12 00:00:00,,13.0
YURTDIŞI,2021/009,2021-09-25,ROMANYA,ROMANYA,ROMANYA,STR 5512 S,300 LT TEK KAPILI OTOKLAV CİHAZI,300 LT,2021/01-162,2021-10-09 00:00:00,,14.0
YURTDIŞI,2020/257,2021-01-07,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKLAV CİHAZI,250 LT,2021/01-004,2021-01-23 00:00:00,,16.0
YURTDIŞI,2020/256,2021-01-07,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKLAV CİHAZI,250 LT,2021/01-005,2021-01-23 00:00:00,,16.0
YURTDIŞI,2020/487,2021-01-07,TARGET MED,TARGET MED,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-006,2021-01-21 00:00:00,,14.0
YURTDIŞI,2020/317,2021-01-07,TARGET MED,TARGET MED,MISIR,GOLDBERG 250 S,250 LT TEK KAPILI OTOKLAV CİHAZI,250 LT,2021/01-007,2021-01-21 00:00:00,,14.0
YURTDIŞI,2020/380,2021-01-07,TARGET MED,TARGET MED,MISIR,GOLDBERG 422 S,422 LT TEK KAPILI OTOKLAV CİHAZI,422 LT,2021/01-008,2021-01-21 00:00:00,,14.0
İHALE,2021/011,2020-12-05,ERCİYES ÜNİVERSTESİ,ERCİYES ÜNİVERSTESİ,KAYSERİ,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2020/01-255,2021-03-01 00:00:00,,86.0
DMO,2021/012,2020-09-07,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BÜNYAN DEVLET HASTANESİ,KAYSERİ,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-010,2021-02-10 00:00:00,,156.0
DMO,2021/061,2020-12-09,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA ADSM,BALIKESİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-183,2021-02-11 00:00:00,,64.0
DMO,2021/014,2020-12-08,DMO GENEL MÜDÜRLÜĞÜ,MAMAK DEVLET HASTANESİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2020/01-259,2021-02-10 00:00:00,,64.0
YURTDIŞI,2018/231,2021-01-11,RECİCLE GROUP LLC,RECİCLE GROUP LLC,BULGARİSTAN,GOLDBERG 2000 D,2000 LT ÇİFT KAPILI OTOKLAV CİHAZI,2000 LT,2021/01-009,2021-02-09 00:00:00,,29.0
YURTDIŞI,2021/020,2022-04-13,KONGO,KONGO,KONGO,GOLDBERG 840 D-REVİZYON,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2022/01-036,2022-05-04 00:00:00,,21.0
DMO,2020/346,2021-02-03,YENİMAHALLE DEVLET HASTANESİ,YENİMAHALLE DEVLET HASTANESİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-012,2021-02-10 00:00:00,,7.0
DMO,2020/504,2021-02-12,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-054,2021-03-21 00:00:00,,37.0
DMO,2020/503,2021-02-15,DMO GENEL MÜDÜRLÜĞÜ,GÜLHANE EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-040,2021-02-26 00:00:00,,11.0
DMO,2020/478,2021-02-15,DMO GENEL MÜDÜRLÜĞÜ,GÜLHANE EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-041,2021-02-26 00:00:00,,11.0
DMO,2020/477,2021-02-15,DMO GENEL MÜDÜRLÜĞÜ,GÜLHANE EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-042,2021-02-26 00:00:00,,11.0
DMO,2020/475,2021-02-15,DMO GENEL MÜDÜRLÜĞÜ,GÜLHANE EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-043,2021-02-26 00:00:00,,11.0
