DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ
ÖZEL,2018/001,2018-01-04,YENİ HAYAT TIP MERKEZİ-ORJİN SAĞLIK HİZM.,YENİ HAYAT TIP MERKEZİ-ORJİN SAĞLIK HİZM.,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LİTRE,2018/01-001,30,
DMO,2018/072,2017-12-28,DMO GENEL MÜDÜRLÜK,T.C. GIDA TARIM VE HAYV. BAKANLIĞI GIDA VE KONTROL GENEL MÜDÜRLÜĞÜ VETERİNER KONTROL MERKEZ ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ,ANKARA,7717 S,2000 LT ÇİFT KAPILI LABARATUVAR TİP BUHAR STERİLİZATÖRÜ,2000 LİTRE,2018/01-002,100 GÜN,2018-04-06
ÖZEL,2018/071,2017-12-25,BURSA RETİNA GÖZ MERKEZİ,BURSA RETİNA GÖZ MERKEZİ,BURSA,ERS 4410 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI,160 LİTRE,2018/01-003,20,
YURTDIŞI,2018/064,2018-01-22,BAHRİ GROUP CO.,BAHRİ GROUP CO.,KUZEY IRAK,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-004,20,
DMO,2018/107,2018-01-29,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-ÇOBANBEY,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-005,20,
DMO,2018/069,2018-01-05,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-ÇOBANBEY,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-006,20,
İHALE,2018/068,2018-02-06,BURSA KAMU HASTANELER BİRLİĞİ GENEL SEKRETERLİĞİ,BURSA DEVLET HASTANESİ,BURSA,TKF 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-007,20,
DMO,2018/070,2018-01-05,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-ELBAB,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-008,20,
DMO,2018/105,2018-01-29,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-ELBAB,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-009,20,
DMO,2018/067,2018-01-05,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-MAREA,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-010,20,
ÖZEL,2018/059,2018-02-12,TUNÇÇEVİK SAĞ.HİZ.LTD.ŞTİ.,TUNÇÇEVİK SAĞ.HİZ.LTD.ŞTİ.,K.K.T.C.,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-011,20,
ÖZEL,2018/074,2018-02-22,MONO CERRAHİ TIP MERKEZİ,MONO CERRAHİ TIP MERKEZİ,İSTANBUL,STR 4410 S,160 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,160 LT,2018/01-012,20,
YURTDIŞI,2018/091,2018-02-27,STEFAN,STEFAN,SIRBİSTAN,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-013,20,
YURTDIŞI,2018/092,2018-02-27,STEFAN,STEFAN,SIRBİSTAN,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-014,20,
DMO,2018/065,2018-03-01,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BELEDİYE VETERİNERLİK GENEL MÜDÜRLÜK,İZMİR,ERS 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-015,50 GÜN,
DMO,2018/073,2018-03-03,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ ATATÜRK EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-016,55 GÜN,
DMO,2018/078,2018-03-09,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,ÇUKUROVA ÜNİVERSİTESİ REKTÖRLÜĞÜ İDARİ MALİ İŞLER DAİRE BAŞKANLIĞI,ADANA,ERS 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-017,50 GÜN,
ÖZEL,2018/122,2018-03-12,İSTANBUL AYDIN ÜNİVERSİTESİ,İSTANBUL AYDIN ÜNİVERSİTESİ,İSTANBUL,STR 4410 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI,160 LT,2018/01-018,1900-01-30 00:00:00,
DMO,2018/082,2018-03-14,DMO GENEL MÜDÜRLÜĞÜ,KAMAN DEVLET HASTANESİ,KIRŞEHİR,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-019,55 GÜN,
