DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2024,KURULUM YERİ /2024,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
YURTDIŞI,2022/485,2024-02-05,UKRAYNA,UKRAYNA,UKRAYNA,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2024/01-022,30 GÜN,2024-03-15,
YURTDIŞI,2022/486,2024-02-05,UKRAYNA,UKRAYNA,UKRAYNA,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2024/01-023,30 GÜN,2024-03-15,
YURTDIŞI,2022/514,2024-04-05,SANCAKTEPE ÖZEL BÖLGE HASTANESİ,SANCAKTEPE ÖZEL BÖLGE HASTANESİ,İSTANBUL,STR 7712 D,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2024/01-076,30 GÜN,2024-04-15,
DMO,2023/366,2024-02-26,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA GÖLBAŞI ÜLKÜ ULUSOY AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,ERS 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2023/01-103,65 GÜN,2024-05-01,
DMO,2023/354,2024-03-07,DMO MERSİN İRTİBAT BÜROSU,ADANA İL SAĞLIK MÜDÜRLÜĞÜ,ADANA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-005,65 GÜN,2024-05-11,
İHALE,2023/355,2023-12-26,MSB.SHH.İKM.VE BKM.MRK.BŞK.LIĞI,YENİ GİRNE ASKER HASTANESİ,KIBRIS,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-003,90 GÜN,2024-03-25,
YURTDIŞI,2023/360,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 675,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2024/01-026,40 GÜN,2024-02-20,
YURTDIŞI,2023/361,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 675,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2024/01-027,40 GÜN,2024-02-20,
YURTDIŞI,2023/362,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 675,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2024/01-028,40 GÜN,2024-02-20,
YURTDIŞI,2023/363,2024-02-14,IEC,PAKİSTAN,PAKİSTAN,GOLDBERG 675,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2024/01-029,40 GÜN,2024-02-20,
