DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
ÖZEL,2018/006,2018-06-29,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-012,20 GÜN,2018-07-18,
DEMO,2018/007,2018-02-14,DEMO,DERİNCE EĞİTİM VE ARAŞTIRMA HASTANESİ,KOCAELİ,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-003,21 GÜN,,
ÖZEL,2018/008,2018-10-23,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-029,DERHAL,,
YURTDIŞI,2018/009,2018-09-03,COOL DEE PA ELEKTRIC CO LTD.,COOL DEE PA ELEKTRIC CO LTD.,TAYLAND,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-022,7 GÜN,2018-09-07,
YURTDIŞI,2018/011,2018-02-28,YÜKSELİŞ,DR.ORUC IBADOV,AZERBEYCAN,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-004,8 GÜN,,
DMO,2018/013,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-033,60 GÜN,2019-01-01,
ÖZEL,2018/015,2018-07-27,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-016,61 GÜN,2018-08-06,
DMO,2018/016,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-032,60 GÜN,2019-01-01,
ÖZEL,2018/017,2018-06-29,ÖZEL FSM TIP MERKEZİ,ÖZEL FSM TIP MERKEZİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-011,20 GÜN,2018-07-18,
DMO,2018/018,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-031,60 GÜN,2019-01-01,
YURTDIŞI,2018/019,2018-11-21,ARISTOTEL ZDRAVSTVENI CENTER D.O.O.,ARISTOTEL ZDRAVSTVENI CENTER D.O.O.,SLOVENYA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-014,61 GÜN,,
DMO,2018/020,2018-03-20,DMO,BURSA MUAMMER AĞIM GEMLİK DEVLET HASTANESİ,BURSA,ERM 2000 F,AMELİYAT MASASI,*,2018/02-002,50 GÜN,2018-05-08,
YURTDIŞI,2018/021,2018-06-25,NI CONSULTİNG,NI CONSULTİNG,ROMANYA,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-010,51 GÜN,2018-07-18,
ÖZEL,2018/023,2018-04-11,ÖZEL,ÖZEL SAFA TEŞHİS VE TEDAVİ MERKEZİ SAN.TİC.A.Ş.,İZMİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-005,DERHAL,,
DMO,2018/024,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-035,60 GÜN,2019-01-01,
DMO,2018/025,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-030,60 GÜN,2019-01-01,
DMO,2018/027,2018-11-02,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA DEVLET HASTANESİ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-034,60 GÜN,2019-01-01,
YURTDIŞI,2018/028,2018-12-10,RAWAT ALMAJARRA COMPANY,RAWAT ALMAJARRA COMPANY,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2018/02-037,61 GÜN,2018-12-12,
