DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
YURTDIŞI,2020/034,2020-02-25,MED İNSPİRE,MED İNSPİRE,ÖZBEKİSTAN,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-003,2020-03-03 00:00:00,7,
ÖZEL,2020/035,2020-02-28,RADON MEDİKAL,BAŞKENT HASTANESİ,ANKARA,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-002,2020-02-28 00:00:00,15,
DEMO,2020/036,2020-03-09,ORDU KADIN DOĞUM HASTANESİ,ORDU KADIN DOĞUM HASTANESİ,ORDU,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-004,2020-03-09 00:00:00,15,
DMO,2020/037,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-026,2020-05-10 00:00:00,11,
2021 DE SATIŞA ÇEVRİLDİ,2020/038,2020-06-08,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,STR 2000 F,AMELİYAT MASASI,*,,2020-06-20 00:00:00,2020/02-048 IRAKTI STOK OLDU,
YURTDIŞI,2020/039,2020-12-14,ROMEDCOM,ROMEDCOM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,*,2020/02-066,2020-12-14 00:00:00,15,
DMO,2020/094,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-009,2020-05-10 00:00:00,11,
DMO,2020/095,2020-04-29,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-010,2020-05-10 00:00:00,11,
DMO,2020/096,2019-12-10,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,NEVŞEHİR DEVLET HASTANESİ,NEVŞEHİR,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-005,2020-08-10 00:00:00,15,
DMO,2020/097,2019-12-10,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,NEVŞEHİR DEVLET HASTANESİ,NEVŞEHİR,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-006,2020-08-10 00:00:00,15,
2021 DE SATIŞA ÇEVRİLDİ,2020/098,2020-03-13,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,2000 f,AMELİYAT MASASI,*,,,,
DMO,2020/131,2020-04-13,DMO GENEL MÜDÜRLÜĞÜ,YEŞİLKÖY SAHRA HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2020/02-027,2020-05-10 00:00:00,27,
YURTDIŞI,2020/132,2020-05-21,MAX MEDİCA COMPANY,MAX MEDİCA COMPANY,IRAK,STR 2000 F,AMELİYAT MASASI,*,2020/02-046,DERHAL,30,
STOK,2020/133,2020-04-16,STOK,STOK,STOK,2000 F,AMELİYAT MASASI,*,,,,
2021 DE SATIŞA ÇEVRİLDİ,2020/134,2020-04-16,2021 DE SATIŞA ÇEVRİLDİ,2021 DE SATIŞA ÇEVRİLDİ,STOK,2000 F,AMELİYAT MASASI,*,,,,
YURTDIŞI,2020/135,2020-05-21,MAX MEDİCA COMPANY,MAX MEDİCA COMPANY,IRAK,STR 2000 F,AMELİYAT MASASI,*,2020/02-045,DERHAL,30,
DMO,2019/308,2020-04-16,DMO DİYARBAKIR BÖLGE MÜDRÜLÜĞÜ,ŞIRNAK KADIN DOĞUM VE ÇOCUK HASTALIKLARI HASTANESİ,ŞIRNAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-075,2020-06-19 00:00:00,64,
DMO,2019/309,2020-04-16,DMO DİYARBAKIR BÖLGE MÜDRÜLÜĞÜ,ŞIRNAK KADIN DOĞUM VE ÇOCUK HASTALIKLARI HASTANESİ,ŞIRNAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-076,2020-06-19 00:00:00,64,
DMO,2019/310,2020-04-16,DMO DİYARBAKIR BÖLGE MÜDRÜLÜĞÜ,ŞIRNAK KADIN DOĞUM VE ÇOCUK HASTALIKLARI HASTANESİ,ŞIRNAK,GOLDBERG 5S,AMELİYAT MASASI,*,2019/02-077,2020-06-19 00:00:00,64,
