DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN,KURULUM YERİ /2021,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
YURTDIŞI,2020/362,2021-01-04,KOMED KOSOVA,KOMED KOSOVA,KOSOVA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-001,2021-01-20,16,
YURTDIŞI,2020/359,2021-01-07,ETKİN TIBBİ CİHAZLAR,ETKİN TIBBİ CİHAZLAR,ROMANYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-007,2021-01-12,5,
YURTDIŞI,2020/341,2021-01-07,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-002,2021-01-23,16,
YURTDIŞI,2020/361,2021-01-07,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-003,2021-01-23,16,
YURTDIŞI,2020/360,2021-01-07,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-004,2021-01-23,16,
YURTDIŞI,2020/357,2021-01-07,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-005,2021-01-23,16,
YURTDIŞI,2020/358,2021-01-07,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-006,2021-01-23,16,
DEMO,2020/240,2021-02-02,TARSUS DEVLET HASTANESİ,TARSUS DEVLET HASTANESİ,MERSİN,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-008,2021-02-02,,
DMO,2021/022,2021-02-04,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-013,2021-02-23,19,
DMO,2021/023,2021-02-12,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-010,2021-03-21,37,
DMO,2021/024,2021-02-12,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-014,2021-03-21,37,
DMO,2021/025,2021-02-18,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BALIKESİR ÜNİVERSİTESİ SAĞLIK UYGULAMA ARAŞTIRMA HASTANESŞ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-015,2021-04-18,59,
ÖZEL,2021/026,2021-05-03,NBA GÜVEN TIP MERKEZİ,NBA GÜVEN TIP MERKEZİ,ANKARA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-019,2021-05-04,1,
YURTDIŞI,2021/027,2021-09-10,AL HADARAT HOSPİTAL,AL HADARAT HOSPİTAL,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-028,2021-09-13,3,
STOK,2021/028,2021-02-11,STOK,STOK,STOK,GOLDBERG 5S,AMELİYAT MASASI,*,,,,
YURTDIŞI,2021/029,2021-09-10,AL HADARAT HOSPİTAL,AL HADARAT HOSPİTAL,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-026,2021-09-13,3,
DMO,2021/030,2021-05-18,DMO VAN BÖLGE MÜDÜRLÜĞÜ,DERECİK DEVLET HASTANESİ,HAKKARİ,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-020,2021-07-21,64,
DMO,2021/031,2021-11-04,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BALIKESİR ÜNİVERSİTESİ SAĞLIK UYGULAMA ARAŞTIRMA HASTANESŞ,BALIKESİR,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-057,2022-01-02,59,
YURTDIŞI,2021/032,2021-11-16,PERU,PERU,PERU,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-058,2021-11-24,8,
ÖZEL,2021/033,2021-06-17,HATTAT SAĞLIK HİZMETLERİ,ETHİCA İNCİRLİ HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-021,2021-06-19,2,
DMO,2020/241,2021-02-12,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-009,2021-03-21,37,
DMO,2020/356,2021-02-12,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-011,2021-03-21,37,
DMO,2020/363,2021-02-12,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-012,2021-03-21,37,
DMO,2020/093,2021-04-16,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,BERGAMA DEVLET HASTANESİ,İZMİR,ERM 2000 F,AMELİYAT MASASI,*,2020/02-047,2021-05-12,26,
ÖZEL,2021/063,2021-09-21,RADON TIBBİ MALZEMELER,AMERİKAN HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-036,2021-09-21,0,
ÖZEL,2021/064,2021-09-14,JİNEMED HASTANESİ,JİNEMED HASTANESİ,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-037,2021-10-14,30,
YURTDIŞI,2021/065,2021-09-10,AL HADARAT HOSPİTAL,AL HADARAT HOSPİTAL,IRAK,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-027,2021-09-13,3,
DMO,2021/066,2021-09-24,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-039,2021-12-02,69,
ÖZEL,2021/067,2021-09-29,İNCİRLİ SAĞLIK VE SOSYAL TESİSLERİ A.Ş.,İNCİRLİ SAĞLIK VE SOSYAL TESİSLERİ A.Ş.,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,*,2021/02-048,2021-10-30,31,
ÖZEL,2021/068,2021-10-20,MOBİL AMBULANS,MOBİL AMBULANS,ANKARA,GOLDBERG 3S,AMELİYAT MASASI,*,2021/02-049,2021-11-20,31,
YURTDIŞI,2021/069,2021-09-10,AL HADARAT HOSPİTAL,AL HADARAT HOSPİTAL,IRAK,GOLDBERG 4S,AMELİYAT MASASI,*,2021/02-030,2021-09-13,3,
STOK,2021/070,2021-03-10,STOK,STOK,STOK,GOLDBERG 5S,AMELİYAT MASASI,OBEZ,,,,
STOK,2021/071,2021-03-10,STOK,STOK,STOK,GOLDBERG 4S,AMELİYAT MASASI,*,,,,
DMO,2020/098,2021-04-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,CEYLANPINAR DEVLET HASTANESİ,GAZİANTEP,ERM 2000 F,AMELİYAT MASASI,*,2021/02-016,2021-06-09,64,
