DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2022,KURULUM YERİ /2022,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
YURTDIŞI,2021/159,2023-01-24,ROMANYA - NICU,ROMANYA,ROMANYA,GOLDBERG 4S,AMELİYAT MASASI,*,2022/02-039,33,2023-02-26,
YURTDIŞI,2021/456,2022-01-13,MD ROM,MD ROM,MOLDOVA,STR 2000 F,AMELİYAT MASASI,,2022/02-001,10,2022-01-23,
ÖZEL,2022/116,2022-02-03,SIEMENS HEALTHCARE SAĞLIK A.Ş.,SIEMENS HEALTHCARE SAĞLIK A.Ş.,İSTANBUL,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-002,30,2022-03-05,
YURTDIŞI,2022/127,2022-05-18,SMART MED,LİBYA,LİBYA,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-008,30,2022-06-17,
ÖZEL,2022/130,2022-04-07,ER TIBBİ CİHAZLAR,ORDU EAH,ORDU,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-003,30,2022-05-07,
DMO,2022/129,2022-06-08,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA  İL SAĞLIK MÜDÜRLÜĞÜ,MALATYA,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-010,60,2022-08-07,
DMO,2022/128,2022-03-04,DMO,SAMANDAĞ DEVLET HASTANESİ,HATAY,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-004,60,2022-05-03,
YURTDIŞI,2022/306,2022-06-14,FİRSTAZMED,AZERBAYCAN,AZERBAYCAN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-025,30,2022-07-14,
YURTDIŞI,2022/307,2022-06-14,FİRSTAZMED,AZERBAYCAN,AZERBAYCAN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-026,17,2022-07-01,
DMO,2022/134,2022-04-08,DMO,TRABZON S.B.Ü. AHİ EVRAN GÖĞÜS KALP VE DAMAR CERRAHİSİ EĞİTİM VE ARAŞTIRMA HASTANESİ,TRABZON,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-005,60,2022-06-07,
YURTDIŞI,2022/135,2022-06-14,FİRSTAZMED,AZERBAYCAN,AZERBAYCAN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-015,17,2022-07-01,
DMO,2022/136,2022-06-22,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,ONDOKUZMAYIS ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA HASTANESİ,SAMSUN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-006,65,2022-08-26,
DMO,2022/191,2022-06-22,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,ONDOKUZMAYIS ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA HASTANESİ,SAMSUN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-016,65,2022-08-26,
DMO,2022/192,2022-06-22,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,ONDOKUZMAYIS ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA HASTANESİ,SAMSUN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-017,65,2022-08-26,
YURTDIŞI,2022/193,2022-09-13,ROMANYA - NICU,ROMANYA,ROMANYA,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-018,9,2022-09-22,
DMO,2022/194,2022-06-22,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,ONDOKUZMAYIS ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA HASTANESİ,SAMSUN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-019,65,2022-08-26,
YURTDIŞI,2022/195,2022-06-29,WHİTE SHIP,IRAK,IRAK,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-021,2,2022-07-01,
DMO,2022/196,2022-06-22,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,ONDOKUZMAYIS ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA HASTANESİ,SAMSUN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-020,65,2022-08-26,
YURTDIŞI,2022/197,2022-06-29,WHİTE SHIP,IRAK,IRAK,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-022,2,2022-07-01,
YURTDIŞI,2022/198,2022-06-29,PAKİSTAN,PAKİSTAN,PAKİSTAN,GOLDBERG 5S,AMELİYAT MASASI,,2022/02-023,2,2022-07-01,
YURTDIŞI,2022/199,2022-05-27,IRAK,IRAK,IRAK,GOLDBERG 4S,AMELİYAT MASASI,,2022/02-009,3,2022-05-30,
DMO,2022/235,2022-05-13,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,SAMSUN 19 MAYIS İLÇE DEVLET HASTANESİ,SAMSUN,ERM2000F,AMELİYAT MASASI,,2022/02-007,60,2022-07-12,
DMO,2022/246,2022-06-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY İL SAĞLIK MÜDÜRLÜĞÜ -ARSUZ DEVLET HASTANESİ,HATAY,ERM2000F,AMELİYAT MASASI,,2022/02-010,65,2022-08-10,
DMO,2022/272,2022-06-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY İL SAĞLIK MÜDÜRLÜĞÜ -ARSUZ DEVLET HASTANESİ,HATAY,ERM2000F,AMELİYAT MASASI,,2022/02-011,65,2022-08-10,
DMO,2022/273,2022-06-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY İL SAĞLIK MÜDÜRLÜĞÜ -ARSUZ DEVLET HASTANESİ,HATAY,ERM2000F,AMELİYAT MASASI,,2022/02-012,65,2022-08-10,
DMO,2022/304,2022-08-25,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,MEHMET AKİF ERSOY ÜNİVERSİTESİ İDARİ VE MALİ İŞLER MÜDÜRLÜĞÜ,BURDUR,ERM2000F,AMELİYAT MASASI,,2022/02-035,65,2022-10-29,
