DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2023,KURULUM YERİ /2023,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
ÖZEL,2022/462,2023-01-16,BAYPARK HASTANESİ,BAYPARK HASTANESİ,İSTANBUL,GOLDBERG 5S  - OBEZ UYUMLU,AMELİYAT MASASI,,2023/02-001,65 GÜN,2023-02-06,
YURTDIŞI,2022/502,2023-01-18,BRONCAMED,CASABLANCA FAS,FAS,GOLDBERG 3 S,AMELİYAT MASASI,,2023/02-002,66 GÜN,2023-01-31,
DMO,2022/504,2023-03-28,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,MEHMET AKİF ERSOY EĞİTİM VE ARAŞTIRMA HASTANESİ,BURDUR,ERM 2000 F,AMELİYAT MASASI,,2023/02-004,65 GÜN,2023-06-01,
DMO,2022/505,2023-03-28,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,MEHMET AKİF ERSOY EĞİTİM VE ARAŞTIRMA HASTANESİ,BURDUR,ERM 2000 F,AMELİYAT MASASI,,2023/02-005,65 GÜN,2023-06-01,
DMO,2022/506,2023-05-02,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,KONYA YUNAK HACI İZZET BAYSAL İLÇE DEVLET HASTANESİ,KONYA,ERM 2000 F,AMELİYAT MASASI,,2023/02-010,60 GÜN,2023-07-01,
DMO,2022/507,2023-05-08,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR BUCA SEYFİ DEMİRSOY EĞİTİM VE ARAŞTIRMA HASTANESİ,İZMİR,ERM 2000 F,AMELİYAT MASASI,,2023/02-020,65 GÜN,2023-07-12,
DMO,2023/101,2023-03-31,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,TRAKYA ÜNİVERSİTESİ,EDİRNE,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-006,70 GÜN,2023-06-04,
ÖZEL,2023/132,2023-02-16,ALYANS MEDİKAL,AZERBAYCAN,AZERBAYCAN,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-003,70 GÜN,2023-02-28,
DMO,2023/140,2023-03-31,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,TRAKYA ÜNİVERSİTESİ,EDİRNE,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-007,70 GÜN,2023-06-04,
DMO,2023/141,2023-03-31,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,TRAKYA ÜNİVERSİTESİ,EDİRNE,GOLDBERG 5 S,AMELİYAT MASASI,,2023/02-008,70 GÜN,2023-06-04,
