DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2023,KURULUM YERİ /2023,İL,ÜRÜN MODEL,ÜRÜN,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,İRSALİYE TARİHİ
YURTDIŞI,2023/023,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 45,"OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -26,77 m3/hr 446 lt/min",,2023/06-001,60 gün,2023-05-30,
YURTDIŞI,2023/024,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 45,"OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -26,77 m3/hr 446 lt/min",,2023/06-002,60 gün,2023-05-30,
YURTDIŞI,2023/025,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 45,"OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -26,77 m3/hr 446 lt/min",,2023/06-003,60 gün,2023-05-30,
YURTDIŞI,2023/026,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 45,"OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -26,77 m3/hr 446 lt/min",,2023/06-004,60 gün,2023-05-30,
YURTDIŞI,2023/027,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-005,60 gün,2023-05-30,
YURTDIŞI,2023/028,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-006,60 gün,2023-05-30,
YURTDIŞI,2023/029,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-007,60 gün,2023-05-30,
YURTDIŞI,2023/030,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-008,60 gün,2023-05-30,
YURTDIŞI,2023/031,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-009,60 gün,2023-05-30,
YURTDIŞI,2023/032,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-010,60 gün,2023-05-30,
YURTDIŞI,2023/033,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-011,60 gün,2023-05-30,
YURTDIŞI,2023/034,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 90,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-012,60 gün,2023-05-30,
YURTDIŞI,2023/035,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 90,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-013,60 gün,2023-05-30,
YURTDIŞI,2023/036,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 90,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-014,60 gün,2023-05-30,
YURTDIŞI,2023/037,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 90,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-015,60 gün,2023-05-30,
YURTDIŞI,2023/038,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-016,60 gün,2023-05-30,
YURTDIŞI,2023/039,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-017,60 gün,2023-05-30,
YURTDIŞI,2023/040,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-018,60 gün,2023-05-30,
YURTDIŞI,2023/041,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-019,60 gün,2023-05-30,
YURTDIŞI,2023/042,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-020,60 gün,2023-05-30,
YURTDIŞI,2023/043,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-021,60 gün,2023-05-30,
YURTDIŞI,2023/044,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-022,60 gün,2023-05-30,
YURTDIŞI,2023/045,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-023,60 gün,2023-05-30,
YURTDIŞI,2023/046,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-024,60 gün,2023-05-30,
YURTDIŞI,2023/047,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-025,60 gün,2023-05-30,
YURTDIŞI,2023/048,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-026,60 gün,2023-05-30,
YURTDIŞI,2023/049,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-027,60 gün,2023-05-30,
YURTDIŞI,2023/050,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-028,60 gün,2023-05-30,
YURTDIŞI,2023/051,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-029,60 gün,2023-05-30,
YURTDIŞI,2023/191,2023-05-11,LİBYA,LİBYA,LİBYA,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-030,60 gün,2023-05-30,
YURTDIŞI,2023/222,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 30,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-031,60 gün,2023-09-16,
YURTDIŞI,2023/223,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 30,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-032,60 gün,2023-09-16,
YURTDIŞI,2023/224,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 30,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-033,60 gün,2023-09-16,
YURTDIŞI,2023/225,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-034,60 gün,2023-09-16,
YURTDIŞI,2023/226,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-035,60 gün,2023-09-16,
YURTDIŞI,2023/227,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-036,60 gün,2023-09-16,
YURTDIŞI,2023/228,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-037,60 gün,2023-09-16,
YURTDIŞI,2023/229,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-038,60 gün,2023-09-16,
YURTDIŞI,2023/230,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-039,60 gün,2023-09-16,
YURTDIŞI,2023/231,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-040,60 gün,2023-09-16,
YURTDIŞI,2023/232,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-041,60 gün,2023-09-16,
YURTDIŞI,2023/233,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-042,60 gün,2023-09-16,
YURTDIŞI,2023/234,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-043,60 gün,2023-09-16,
YURTDIŞI,2023/235,2023-06-16,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,OXY-GOLD 45,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-044,60 gün,2023-09-16,
