Sıra No,Modeller,Satış Fiyatı (Dolar),Satış Fiyatı (Dolar).1
,Teksteril,Yurtiçi,Yurtdışı
1.0,Oxy- Gold–2,,
2.0,Oxy- Gold –3,,
3.0,Oxy- Gold –4,,
4.0,Oxy- Gold –5,,
5.0,Oxy- Gold –7,,
6.0,Oxy- Gold –11,,
7.0,Oxy- Gold –15,,
8.0,Oxy- Gold –18,,
9.0,Oxy- Gold –22,,
10.0,Oxy- Gold –30,,55000
11.0,Oxy- Gold –37,,60000
12.0,Oxy- Gold –45,,65000
13.0,Oxy- Gold –55,,75000
14.0,Oxy- Gold –75,,90000
15.0,Oxy- Gold –90,,105000
16.0,Oxy- Gold –110,,125000
17.0,Oxy- Gold –132,,
18.0,Oxy- Gold –160,,
19.0,Oxy- Gold –200,,
20.0,Oxy- Gold –250,,
21.0,Oxy-Gold-M-10,,
22.0,Oxy-Gold-M-20,,
23.0,Oxy-Gold-M-30,,
24.0,Oxy-Gold-M-40,,
