DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2023,KURULUM YERİ /2023,İL,ÜRÜN MODEL,ÜRÜN,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,İRSALİYE TARİHİ
YURTDIŞI,2023/023,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 45,"OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -26,77 m3/hr 446 lt/min",,2023/06-001,,2023-05-30,
YURTDIŞI,2023/024,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 45,"OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -26,77 m3/hr 446 lt/min",,2023/06-002,,2023-05-30,
YURTDIŞI,2023/025,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 45,"OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -26,77 m3/hr 446 lt/min",,2023/06-003,,2023-05-30,
YURTDIŞI,2023/026,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 45,"OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -26,77 m3/hr 446 lt/min",,2023/06-004,,2023-05-30,
YURTDIŞI,2023/027,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-005,,2023-05-30,
YURTDIŞI,2023/028,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-006,,2023-05-30,
YURTDIŞI,2023/029,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-007,,2023-05-30,
YURTDIŞI,2023/030,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-008,,2023-05-30,
YURTDIŞI,2023/031,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-009,,2023-05-30,
YURTDIŞI,2023/032,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-010,,2023-05-30,
YURTDIŞI,2023/033,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY- GOLD 75,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ -47 m3/hr 793 lt/min,,2023/06-011,,2023-05-30,
YURTDIŞI,2023/034,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 90,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-012,,2023-05-30,
YURTDIŞI,2023/035,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 90,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-013,,2023-05-30,
YURTDIŞI,2023/036,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 90,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-014,,2023-05-30,
YURTDIŞI,2023/037,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 90,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-015,,2023-05-30,
YURTDIŞI,2023/038,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-016,,2023-05-30,
YURTDIŞI,2023/039,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-017,,2023-05-30,
YURTDIŞI,2023/040,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-018,,2023-05-30,
YURTDIŞI,2023/041,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-019,,2023-05-30,
YURTDIŞI,2023/042,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-020,,2023-05-30,
YURTDIŞI,2023/043,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-021,,2023-05-30,
YURTDIŞI,2023/044,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-022,,2023-05-30,
YURTDIŞI,2023/045,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-023,,2023-05-30,
YURTDIŞI,2023/046,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-024,,2023-05-30,
YURTDIŞI,2023/047,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-025,,2023-05-30,
YURTDIŞI,2023/048,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-026,,2023-05-30,
YURTDIŞI,2023/049,2023-01-02,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,OXY-GOLD 110,OKSİJEN ÜRETİM VE DEPOLAMA SİSTEMİ,,2023/06-027,,2023-05-30,
