DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,DİYARBAKIR,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,SİPARİŞİN DURUMU
YURTDIŞI,2019/018,2019-02-08,"MME LLC,ALEXANDER","MME LLC,ALEXANDER",UKRAYNA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-001,28,2019-03-08,
DMO,2019/039,2019-02-19,DMO GENEL MÜDÜRLÜĞÜ,ETİMESGUT DEVLET HASTANESİ,ANKARA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-002,28,2019-03-19,
ÖZEL,,2019-03-22,LÖSENTE,BİTLİS DEVLET HASTANESİ,ANKARA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-003,29,2019-04-20,
ÖZEL,2019/073,2019-03-26,ALYANS MEDİKAL,ALYANS MEDİKAL,AZERBEYCAN,TSP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-004,20,2019-04-15,
ÖZEL,2019/128,2019-03-26,ALYANS MEDİKAL,ALYANS MEDİKAL,AZERBEYCAN,TSP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-009,21,2019-04-16,
DMO,2019/075,2019-11-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ŞANLIURFA EĞİTİM VE ARAŞTIRMA HASTANESİ,ŞANLIURFA,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-005,11,2019-11-17,
YURTDIŞI,2019/076,2019-07-09,EKVATOR,EKVATOR,EKVATOR,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-014,132,2019-11-18,
DMO,2019/114,2019-05-08,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA MİLAS 75.YIL DEVLET HASTANESİ,MUĞLA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-007,54,2019-07-01,
DMO,2019/119,2019-05-13,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BİLECİK DEVLET HASTANESİ,BİLECİK,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-008,49,2019-07-01,
DMO,2019/116,2019-07-09,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,SİLVAN DEVLET HASTANESİ,DİYARBAKIR,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-011,24,2019-08-02,
ÖZEL,2019/124,2019-05-14,DTH SAĞLIK HİZMETLERİ A.Ş.,ANKARA ABDURRAHMAN YURTASLAN ONKOLOJİ EĞİTİM VE ARAŞTIRMA HASTANESİ,ANKARA,TSP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-006,50,2019-07-03,
YURTDIŞI,2019/164,2019-09-19,M-TECH LTD,M-TECH LTD,GÜRCİSTAN,GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT CİHAZI,120 LT,2019/04-010,46,2019-11-04,
YURTDIŞI,2019/336,2019-12-25,TECHNOLOGY KEEPER GROUP LTDA,TECHNOLOGY KEEPER GROUP LTDA,BOLİVİA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2019/04-018,-111,2019-09-05,
