DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2022,KURULUM YERİ /2022,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,İRSALİYE TARİHİ
ÖZEL,2022/076,2022-08-25,ÇANAKKALE İL SAĞLIK MÜDÜRLÜĞÜ,ÇANAKKALE MEHMET AKİF ERSOY DEVLET HASTANESİ,ÇANAKKALE,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-005,11,2022-09-05,
ÖZEL,2022/077,2022-05-10,ASZ KİMYA TİC. LTD. ŞTİ.,DİYARBAKIR ÖZEL DÜNYA HASTANESİ,DİYARBAKIR,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-007,17,2022-05-27,
ÖZEL,2022/078,2022-01-06,AAS SAĞLIK VE GÜZELLİK HİZM. A.Ş.,SULE HAİRTRANSPLANT,İSTANBUL,GP120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-001,142,2022-05-28,
DMO,2022/079,2022-04-04,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA İL SAĞLIK MÜDÜRLÜĞÜ,MALATYA,GOLBERG GP 120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-004,60,2022-06-03,
YURTDIŞI,2022/080,2022-01-06,MERİVAN,IRAK,IRAK,GP120,120 LT TEK KAPILI PLAZMA CİHAZI,120 LT,2022/04-002,60,2022-03-07,
DMO,2022/166,2022-04-13,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA İL SAĞLIK MÜDÜRLÜĞÜ - BODRUM DEVLET HASTANESİ,MUĞLA,GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2022/04-006,65,2022-06-17,
YURTDIŞI,2022/168,2022-10-12,UKRAYNA,UKRAYNA,UKRAYNA,GOLDBERG GP 80,80 LT TEK KAPILI PLAZMA CİHAZI,80 LT,2022/04-019,5,2022-10-17,
YURTDIŞI,2022/175,2022-06-18,NICU,ROMANYA,ROMANYA,GP 135 D,135 LT ÇİFT KAPILI PLAZMA CİHAZI,135 LT,2022/04-012,122,2022-10-18,
ÖZEL,2022/176,2023-04-27,MNR MEDİKAL,ŞANLIURFA EĞİTİM VE ARAŞTIRMA HASTANESİ,ŞANLIURFA,GP 135 S,135 LT  TEK KAPILI PLAZMA CİHAZI,135 LT,2022/04-024,31,2023-05-28,
ÖZEL,2022/232,2022-05-12,YELKEN ÖZEL EĞİTİM TIBBİ MALZEME TİC. A.Ş.,BATMAN BATIGÖZ HASTANESİ,BATMAN,GP 120,120 LT ÇİFT KAYAR KAPILI PLAZMA CİHAZI,120 LT,2022/04-008,30,2022-06-11,
