DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2023,KURULUM YERİ /2023,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,İRSALİYE TARİHİ
YURTDIŞI,2022/074,2023-11-13,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,GOLDBERG GP 200,200 LT ÇİFT KAPILI PLAZMA CİHAZI,200 LT,2023/04-012,30 gün,2023-11-25,
İHALE,2022/177,2023-12-07,ÇANAKKALE 18 MART ÜNİVERSİTESİ ,ÇANAKKALE 18 MART ÜNİVERSİTESİ ,ÇANAKKALE,GOLDBERG GP 135,135 LT TEK KAPILI PLAZMA CİHAZI,135 LT,2023/04-014,30 gün,2023-12-20,
YURTDIŞI,2022/243,2023-11-08,SERVICIOS BIOMEDICIOS AROTINCO S.A.C.,LIMA- PERU,PERU,GOLDBERG GP 160,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-009,30 gün,2023-10-13,
ÖZEL,2022/484,2023-02-18,ÖZEL LOKMAN HEKİM ESNAF HASTANESİ,FETHİYE ÖZEL LOKMAN HEKİM ESNAF HASTANESİ,MUĞLA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-001,30 gün,2023-02-28,
ÖZEL,2022/508,2023-02-16,ALYANS MEDİKAL,AZERBAYCAN,AZERBAYCAN,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-002,30 gün,2023-02-28,
YURTDIŞI,2023/142,2023-04-06,CASPİAN MEDİKAL SAN. VE TİC. LTD. ŞTİ.,AZERBAYCAN,AZERBAYCAN,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-003,30 gün,2023-07-05,
YURTDIŞI,2023/189,2023-05-10,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-004,30 gün,2023-06-10,
YURTDIŞI,2023/237,2023-07-03,ARNAVUTLUK,ARNAVUTLUK,ARNAVUTLUK,GOLDBERG GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-005,30 gün,2023-07-23,
YURTDIŞI,2023/249,2023-08-31,IRAK,IRAK,IRAK,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-006,30 gün,2023-09-04,
YURTDIŞI,2023/250,2023-10-26,AZERBAYCAN,AZERBAYCAN,AZERBAYCAN,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-008,30 gün,2023-12-10,
ÖZEL,2023/251,2023-07-17,ÇELİK İNŞAAT EMLAK TAAHÜT TİC. LTD. ŞTİ,İNÖNÜ ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ HASTANESİ,MALATYA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-007,30 gün,2023-08-31,
YURTDIŞI,2023/400,2023-11-03,KİNG FAİSAL HOSPİTAL ,RWANDA,RWANDA,GOLDBERG GP 160,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-010,30 gün,2023-12-15,
DMO,2023/401,2023-11-09,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,MEHMET AKİF ERSOY ÜNİVERSİTESİ İDARİ VE MALİ İŞLER DAİRESİ BAŞKANLIĞI,BURDUR,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-011,30 gün,2024-01-08,
YURTDIŞI,2023/432,2023-12-05,MODERN AYDIN MEDİKAL -MERİVAN,IRAK,IRAK,GOLDBERG GP 135,135 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-013,30 gün,2023-12-05,
