kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,aciklama,solusyon_fatura,bidon_acilisi
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0001,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0002,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0003,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0004,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0005,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0006,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0007,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0008,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0009,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0010,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0011,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0012,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0013,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0014,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0015,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0016,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0017,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0018,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0019,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0020,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0021,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0022,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0023,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0024,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0025,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0026,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0027,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0028,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0029,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0030,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0031,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0032,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0033,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0034,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0035,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0036,,,,,
KARTUS,,2018/001,,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,AKSARAY,,KARTUŞ,,2018/07-0037,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0038,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0039,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0040,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0041,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0042,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0043,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0044,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0045,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0046,,,,,
KARTUS,,2018/002,,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0047,,,,,
KARTUS,,2018/003,,MUSTAFA TOPÇU (DÖRT YOL),,MUSTAFA TOPÇU,,KARTUŞ,,2018/07-0048,,,,,
KARTUS,,2018/003,,MUSTAFA TOPÇU (DÖRT YOL),,MUSTAFA TOPÇU,,KARTUŞ,,2018/07-0049,,,,,
KARTUS,,2018/003,,MUSTAFA TOPÇU (DÖRT YOL),,MUSTAFA TOPÇU,,KARTUŞ,,2018/07-0050,,,,,
KARTUS,,2018/003,,MUSTAFA TOPÇU (DÖRT YOL),,MUSTAFA TOPÇU,,KARTUŞ,,2018/07-0051,,,,,
KARTUS,,2018/003,,MUSTAFA TOPÇU (DÖRT YOL),,MUSTAFA TOPÇU,,KARTUŞ,,2018/07-0052,,,,,
KARTUS,,2018/004,,AYVALIK DEVLET HAST (DEMO),,,,KARTUŞ,,2018/07-0053,,,,,
KARTUS,,2018/004,,AYVALIK DEVLET HAST (DEMO),,,,KARTUŞ,,2018/07-0054,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0055,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0056,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0057,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0058,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0059,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0060,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0061,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0062,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0063,,,,,
KARTUS,,2018/005,2018-01-11,HİTİT ÜNİVERSİTESİ ÇORUM EROL OLÇOK EĞİTİM ARAŞTIRMA HASTANESİ,,ÇORUM,,KARTUŞ,,2018/07-0064,,,,,
KARTUS,,2018/006,2018-01-11,ÖZEL GÜLHAN TIP MERKEZİ,,DENİZLİ,,KARTUŞ,,2018/07-0065,,,,,
KARTUS,,2018/006,2018-01-11,ÖZEL GÜLHAN TIP MERKEZİ,,DENİZLİ,,KARTUŞ,,2018/07-0066,,,,,
KARTUS,,2018/006,2018-01-11,ÖZEL GÜLHAN TIP MERKEZİ,,DENİZLİ,,KARTUŞ,,2018/07-0067,,,,,
KARTUS,,2018/006,2018-01-11,ÖZEL GÜLHAN TIP MERKEZİ,,DENİZLİ,,KARTUŞ,,2018/07-0068,,,,,
KARTUS,,2018/006,2018-01-11,ÖZEL GÜLHAN TIP MERKEZİ,,DENİZLİ,,KARTUŞ,,2018/07-0069,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0070,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0071,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0072,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0073,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0074,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0075,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0076,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0077,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0078,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0079,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0080,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0081,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0082,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0083,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0084,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0085,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0086,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0087,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0088,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0089,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0090,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0091,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0092,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0093,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0094,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0095,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0096,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0097,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0098,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0099,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0100,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0101,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0102,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0103,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0104,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0105,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0106,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0107,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0108,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0109,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0110,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0111,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0112,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0113,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0114,,,,,
KARTUS,,2018/007,2018-01-15,BURSA YÜKSEK İHTİSAS EĞİTİM VE ARAŞTIRMA HASTANESİ,,BURSA,,KARTUŞ,,2018/07-0115,,,,,
