siparis_tarihi,teslim_suresi,teslim_tarihi,irsaliye_tarihi
6/29/2018,20 GÜN,7/18/2018,
2/14/2018,21 GÜN,,
10/23/2018,DERHAL,,
9/3/2018,7 GÜN,9/7/2018,
2/28/2018,8 GÜN,,
11/2/2018,60 GÜN,1/1/2019,
7/27/2018,61 GÜN,8/6/2018,
11/2/2018,60 GÜN,1/1/2019,
6/29/2018,20 GÜN,7/18/2018,
11/2/2018,60 GÜN,1/1/2019,
11/21/2018,61 GÜN,,
3/20/2018,50 GÜN,5/8/2018,
6/25/2018,51 GÜN,7/18/2018,
4/11/2018,DERHAL,,
11/2/2018,60 GÜN,1/1/2019,
11/2/2018,60 GÜN,1/1/2019,
11/2/2018,60 GÜN,1/1/2019,
12/10/2018,61 GÜN,12/12/2018,
11/5/2018,60 GÜN,1/1/2019,
10/3/2018,30 GÜN,11/2/2018,
1/2/2018,31 GÜN,,
10/3/2018,30 GÜN,11/2/2018,
7/25/2018,DERHAL,7/25/2018,
12/10/2018,19 GÜN,12/12/2018,
6/29/2018,20 GÜN,7/18/2018,
4/30/2018,,5/10/2018 0:00,
9/3/2018,7 GÜN,9/7/2018,
12/21/2018,50 GÜN,2/9/2019,
12/21/2018,50 GÜN,2/9/2019,
5/18/2018,51 GÜN,5/28/2018,
6/21/2018,52 GÜN,7/1/2018,
6/21/2018,53 GÜN,7/1/2018,
8/29/2018,54 GÜN,,
8/29/2018,55 GÜN,,
8/29/2018,56 GÜN,,
8/29/2018,57 GÜN,,
8/29/2018,58 GÜN,,
10/3/2018,30 GÜN,11/2/2018,
10/3/2018,30 GÜN,11/2/2018,
10/3/2018,30 GÜN,11/2/2018,
12/21/2018,50 GÜN,2/9/2019,
1/22/2019,3,1/25/2019 0:00,
4/4/2019,30,3/23/2019 0:00,
1/24/2019,59,3/24/2019 0:00,
2/8/2019,126,6/14/2019 0:00,
4/24/2019,54,6/17/2019 0:00,
2/20/2019,9,3/1/2019 0:00,
2/28/2019,30,3/30/2019 0:00,
2/28/2019,30,3/30/2019 0:00,
2/28/2019,30,3/30/2019 0:00,
2/28/2019,30,3/30/2019 0:00,
2/28/2019,30,3/30/2019 0:00,
2/28/2019,30,3/30/2019 0:00,
2/28/2019,30,3/30/2019 0:00,
3/4/2019,10,3/14/2019 0:00,
3/4/2019,10,3/14/2019 0:00,
3/18/2019,31,4/18/2019 0:00,
3/21/2019,28,4/18/2019 0:00,
4/4/2019,15,4/19/2019 0:00,
4/4/2019,16,4/20/2019 0:00,
4/16/2019,59,6/14/2019 0:00,
4/16/2019,59,6/14/2019 0:00,
4/16/2019,59,6/14/2019 0:00,
4/16/2019,59,6/14/2019 0:00,
4/16/2019,59,6/14/2019 0:00,
4/16/2019,59,6/14/2019 0:00,
4/16/2019,59,6/14/2019 0:00,
4/16/2019,59,6/14/2019 0:00,
5/8/2019,24,6/1/2019 0:00,
5/8/2019,24,6/1/2019 0:00,
11/27/2019,59,1/25/2020 0:00,
6/27/2019,54,8/20/2019 0:00,
5/30/2019,54,7/23/2019 0:00,
10/25/2019,4,10/29/2019 0:00,
11/22/2019,1,11/23/2019 0:00,
6/27/2019,54,8/20/2019 0:00,
6/27/2019,54,8/20/2019 0:00,
7/2/2019,39,8/10/2019 0:00,
7/2/2019,39,8/10/2019 0:00,
7/2/2019,39,8/10/2019 0:00,
7/2/2019,39,8/10/2019 0:00,
7/2/2019,39,8/10/2019 0:00,
7/2/2019,39,8/10/2019 0:00,
7/2/2019,39,8/10/2019 0:00,
7/2/2019,39,8/10/2019 0:00,
10/23/2019,5,10/28/2019 0:00,
10/23/2019,5,10/28/2019 0:00,
7/30/2019,31,8/30/2019 0:00,
7/30/2019,31,8/30/2019 0:00,
7/30/2019,31,8/30/2019 0:00,
7/30/2019,31,8/30/2019 0:00,
7/30/2019,31,8/30/2019 0:00,
7/30/2019,31,8/30/2019 0:00,
7/30/2019,31,8/30/2019 0:00,
7/30/2019,31,8/30/2019 0:00,
8/21/2019,3,DERHAL,
8/23/2019,9,9/1/2019 0:00,
8/26/2019,49,10/14/2019 0:00,
10/8/2019,1,10/9/2019 0:00,
