siparis_tarihi,teslim_suresi,teslim_tarihi,irsaliye_tarihi
2018-06-29,20 GÜN,2018-07-18,
2018-02-14,21 GÜN,,
2018-10-23,DERHAL,,
2018-09-03,7 GÜN,2018-09-07,
2018-02-28,8 GÜN,,
2018-11-02,60 GÜN,2019-01-01,
2018-07-27,61 GÜN,2018-08-06,
2018-11-02,60 GÜN,2019-01-01,
2018-06-29,20 GÜN,2018-07-18,
2018-11-02,60 GÜN,2019-01-01,
2018-11-21,61 GÜN,,
2018-03-20,50 GÜN,2018-05-08,
2018-06-25,51 GÜN,2018-07-18,
2018-04-11,DERHAL,,
2018-11-02,60 GÜN,2019-01-01,
2018-11-02,60 GÜN,2019-01-01,
2018-11-02,60 GÜN,2019-01-01,
2018-12-10,61 GÜN,2018-12-12,
2018-11-05,60 GÜN,2019-01-01,
2018-10-03,30 GÜN,2018-11-02,
2018-01-02,31 GÜN,,
2018-10-03,30 GÜN,2018-11-02,
2018-07-25,DERHAL,2018-07-25,
2018-12-10,19 GÜN,2018-12-12,
2018-06-29,20 GÜN,2018-07-18,
2018-04-30,2018-05-10 00:00:00,,
2018-09-03,7 GÜN,2018-09-07,
2018-12-21,50 GÜN,2019-02-09,
2018-12-21,50 GÜN,2019-02-09,
2018-05-18,51 GÜN,2018-05-28,
2018-06-21,52 GÜN,2018-07-01,
2018-06-21,53 GÜN,2018-07-01,
2018-08-29,54 GÜN,,
2018-08-29,55 GÜN,,
2018-08-29,56 GÜN,,
2018-08-29,57 GÜN,,
2018-08-29,58 GÜN,,
2018-10-03,30 GÜN,2018-11-02,
2018-10-03,30 GÜN,2018-11-02,
2018-10-03,30 GÜN,2018-11-02,
2018-12-21,50 GÜN,2019-02-09,
2019-01-22,2019-01-25 00:00:00,3,
2019-04-04,2019-03-23 00:00:00,30,
2019-01-24,2019-03-24 00:00:00,59,
2019-02-08,2019-06-14 00:00:00,126,
2019-04-24,2019-06-17 00:00:00,54,
2019-02-20,2019-03-01 00:00:00,9,
2019-02-28,2019-03-30 00:00:00,30,
2019-02-28,2019-03-30 00:00:00,30,
2019-02-28,2019-03-30 00:00:00,30,
2019-02-28,2019-03-30 00:00:00,30,
2019-02-28,2019-03-30 00:00:00,30,
2019-02-28,2019-03-30 00:00:00,30,
2019-02-28,2019-03-30 00:00:00,30,
2019-03-04,2019-03-14 00:00:00,10,
2019-03-04,2019-03-14 00:00:00,10,
2019-03-18,2019-04-18 00:00:00,31,
2019-03-21,2019-04-18 00:00:00,28,
2019-04-04,2019-04-19 00:00:00,15,
2019-04-04,2019-04-20 00:00:00,16,
2019-04-16,2019-06-14 00:00:00,59,
2019-04-16,2019-06-14 00:00:00,59,
2019-04-16,2019-06-14 00:00:00,59,
2019-04-16,2019-06-14 00:00:00,59,
2019-04-16,2019-06-14 00:00:00,59,
2019-04-16,2019-06-14 00:00:00,59,
2019-04-16,2019-06-14 00:00:00,59,
2019-04-16,2019-06-14 00:00:00,59,
2019-05-08,2019-06-01 00:00:00,24,
2019-05-08,2019-06-01 00:00:00,24,
2019-11-27,2020-01-25 00:00:00,59,
2019-06-27,2019-08-20 00:00:00,54,
2019-05-30,2019-07-23 00:00:00,54,
2019-10-25,2019-10-29 00:00:00,4,
2019-11-22,2019-11-23 00:00:00,1,
2019-06-27,2019-08-20 00:00:00,54,
2019-06-27,2019-08-20 00:00:00,54,
2019-07-02,2019-08-10 00:00:00,39,
2019-07-02,2019-08-10 00:00:00,39,
2019-07-02,2019-08-10 00:00:00,39,
2019-07-02,2019-08-10 00:00:00,39,
2019-07-02,2019-08-10 00:00:00,39,
2019-07-02,2019-08-10 00:00:00,39,
2019-07-02,2019-08-10 00:00:00,39,
2019-07-02,2019-08-10 00:00:00,39,
2019-10-23,2019-10-28 00:00:00,5,
2019-10-23,2019-10-28 00:00:00,5,
2019-07-30,2019-08-30 00:00:00,31,
2019-07-30,2019-08-30 00:00:00,31,
2019-07-30,2019-08-30 00:00:00,31,
2019-07-30,2019-08-30 00:00:00,31,
2019-07-30,2019-08-30 00:00:00,31,
2019-07-30,2019-08-30 00:00:00,31,
2019-07-30,2019-08-30 00:00:00,31,
2019-07-30,2019-08-30 00:00:00,31,
2019-08-21,DERHAL,3,
2019-08-23,2019-09-01 00:00:00,9,
2019-08-26,2019-10-14 00:00:00,49,
2019-10-08,2019-10-09 00:00:00,1,
2019-10-12,2019-10-12 00:00:00,0,
2019-11-05,2019-12-01 00:00:00,26,
2019-11-05,2019-12-01 00:00:00,26,
2019-11-05,2019-12-01 00:00:00,26,
2019-11-05,2019-12-01 00:00:00,26,
2019-11-05,2019-12-01 00:00:00,26,
2019-11-05,2019-12-01 00:00:00,26,
2019-11-05,2019-12-01 00:00:00,26,
2019-11-05,2019-12-01 00:00:00,26,
2019-11-06,2019-12-01 00:00:00,25,
2019-11-22,2019-11-23 00:00:00,1,
2019-11-22,2019-11-23 00:00:00,1,
2019-11-22,2019-11-23 00:00:00,1,
2019-12-03,2019-12-10 00:00:00,7,
2019-12-03,2019-12-10 00:00:00,7,
2019-11-22,2020-01-20 00:00:00,59,
2019-12-19,2019-12-20 00:00:00,1,
2019-12-13,2020-02-10 00:00:00,59,
2019-12-13,2019-12-14 00:00:00,1,
2019-12-23,2020-01-23 00:00:00,31,
2019-12-25,2019-12-27 00:00:00,2,
2020-02-25,2020-03-03 00:00:00,7, 
2020-02-28,2020-02-28 00:00:00,15, 
2020-03-09,2020-03-09 00:00:00,15, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-06-08,2020-06-20 00:00:00,2020/02-048 IRAKTI STOK OLDU, 
2020-12-14,2020-12-14 00:00:00,15, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2019-12-10,2020-08-10 00:00:00,15, 
2019-12-10,2020-08-10 00:00:00,15, 
2020-03-13,,, 
2020-04-13,2020-05-10 00:00:00,27, 
2020-05-21,DERHAL,30, 
2020-04-16,,, 
2020-04-16,,, 
2020-05-21,DERHAL,30, 
2020-04-16,2020-06-19 00:00:00,64, 
2020-04-16,2020-06-19 00:00:00,64, 
2020-04-16,2020-06-19 00:00:00,64, 
2020-04-16,2020-06-19 00:00:00,64, 
2019-12-10,2020-08-10 00:00:00,60, 
2019-12-10,2020-08-10 00:00:00,60, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-04-29,2020-05-10 00:00:00,11, 
2020-09-25,2020-09-27 00:00:00,2, 
2020-09-07,2020-10-07 00:00:00,30, 
2020-06-10,,, 
2020-06-10,,, 
2020-07-27,2020-10-27 00:00:00,92, 
2020-08-04,2020-08-11 00:00:00,7, 
2020-08-04,2020-08-11 00:00:00,7, 
2020-08-04,2020-08-11 00:00:00,7, 
2020-08-04,2020-08-11 00:00:00,7, 
2020-08-04,2020-08-11 00:00:00,7, 
2020-08-04,2020-08-11 00:00:00,7, 
2020-08-04,2020-08-11 00:00:00,7, 
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-21,2020-10-02 00:00:00,11, 
2020-09-21,2020-10-02 00:00:00,11, 
