kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,irsaliye_tarihi,uts_no
OTOKLAV,ÖZEL,2018/001,1/4/2018,YENİ HAYAT TIP MERKEZİ-ORJİN SAĞLIK HİZM.,YENİ HAYAT TIP MERKEZİ-ORJİN SAĞLIK HİZM.,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LİTRE,2018/01-001,30,,,
OTOKLAV,DMO,2018/072,12/28/2017,DMO GENEL MÜDÜRLÜK,T.C. GIDA TARIM VE HAYV. BAKANLIĞI GIDA VE KONTROL GENEL MÜDÜRLÜĞÜ VETERİNER KONTROL MERKEZ ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ,ANKARA,7717 S,2000 LT ÇİFT KAPILI LABARATUVAR TİP BUHAR STERİLİZATÖRÜ,2000 LİTRE,2018/01-002,100 GÜN,6/22/2018,,
OTOKLAV,ÖZEL,2018/071,12/25/2017,BURSA RETİNA GÖZ MERKEZİ,BURSA RETİNA GÖZ MERKEZİ,BURSA,ERS 4410 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI,160 LİTRE,2018/01-003,20,,,
OTOKLAV,YURTDIŞI,2018/064,1/22/2018,BAHRİ GROUP CO.,BAHRİ GROUP CO.,KUZEY IRAK,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-004,20,,,
OTOKLAV,DMO,2018/107,1/29/2018,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-ÇOBANBEY,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-005,20,,,
OTOKLAV,DMO,2018/069,1/5/2018,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-ÇOBANBEY,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-006,20,,,
OTOKLAV,İHALE,2018/068,2/6/2018,BURSA KAMU HASTANELER BİRLİĞİ GENEL SEKRETERLİĞİ,BURSA DEVLET HASTANESİ,BURSA,TKF 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-007,20,,,
OTOKLAV,DMO,2018/070,1/5/2018,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-ELBAB,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-008,20,6/22/2018,,
OTOKLAV,DMO,2018/105,1/29/2018,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-ELBAB,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-009,20,,,
OTOKLAV,DMO,2018/067,1/5/2018,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,HUDUT VE SAHİLLER GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ-MAREA,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-010,20,,,
